CPUE,Steepness,RecProp,Move,DataWts,Natmort,Model,Clatest,Flatest,Fmsy,Frecent,MSY,SB0,SBF0,SBlatest,SBmsy,SBrecent,TBlatest,TBrecent,Flatest_Fmsy,Frecent_Fmsy,SBlatest_SB0,SBlatest_SBF0,SBlatest_SBmsy,SBrecent_SB0,SBrecent_SBF0,SBrecent_SBmsy
NZ,0.7,Diag,Half2to1,Diag,HamelCope,N_h07_Rb_V2_Dbas_Mhac,6025.8,0.0345624,0.162793,0.034627925,14764.7,125886,128642.15,76577.6,33351.4,79272.85,188052,187621,0.212308883060082,0.212711388081797,0.608309105063311,0.59527612061832,2.29608352273068,0.629719349252498,0.616227651667824,2.37689722170584
NZ,0.7,Diag,Half2to1,Diag,Estimated,N_h07_Rb_V2_Dbas_Mest,6008,0.0581225,0.155582,0.05850675,9765.04,92633.4,94732.93,45270.1,24845.3,46651.8,111226,110428.5,0.373581134064352,0.376050892776799,0.488701699387046,0.477870788964302,1.82207902500674,0.503617485701702,0.492456002363698,1.87769115285386
NZ,0.7,MoreR2,Diag,05length,HamelCope,N_h07_R2_Vb_D05l_Mhac,5924.75,0.0540614,0.162819,0.054526725,10472.1,89654.4,91775.72,45707.7,23711.2,47072.95,117173,116299,0.332033730707104,0.334891658835885,0.509821046150551,0.498036953564625,1.92768396369648,0.525048965806475,0.512912892429501,1.98526223894193
NZ,0.7,MoreR2,Diag,05length,Estimated,N_h07_R2_Vb_D05l_Mest,5924.89,0.0536312,0.162954,0.054088475,10536.1,90024.8,92151.39,46076.3,23803.8,47456.075,118120,117248.5,0.329118646980129,0.331924807000749,0.511817854635612,0.500006565283497,1.93566993505239,0.527144464636411,0.514979481047437,1.9936344197145
NZ,0.7,MoreR2,Diag,05weight,HamelCope,N_h07_R2_Vb_D05w_Mhac,5974.98,0.0455529,0.162825,0.046028075,11500.5,98652.4,101348.75,55165.8,26087,56470.25,139697,138424,0.279766006448641,0.282684323660372,0.559193694223354,0.544316530790957,2.11468547552421,0.57241638317973,0.557187434477485,2.16468930885115
NZ,0.7,MoreR2,Diag,05weight,Estimated,N_h07_R2_Vb_D05w_Mest,5975.24,0.0440925,0.163339,0.04453405,11805.2,100510,103257.57,56992.3,26556,58363.525,144349,143090.25,0.269944716203724,0.27264798976362,0.567031141179982,0.551943068193451,2.14611763819852,0.58067381355089,0.565222724106329,2.19775286187679
NZ,0.7,MoreR2,Diag,20length,HamelCope,N_h07_R2_Vb_D20l_Mhac,5931.65,0.0556688,0.162976,0.056000475,10250,87351.5,89694.93,44219.7,23106.9,45525.2,113654,112934.25,0.341576673866091,0.343611789465934,0.50622713977436,0.493001109427255,1.91370110226815,0.52117250419283,0.507556001214338,1.97019937767507
NZ,0.7,MoreR2,Diag,20length,Estimated,N_h07_R2_Vb_D20l_Mest,5930.62,0.0588937,0.161968,0.059278625,9827.81,84995.4,87294.12,41783.1,22521.1,42992.6,107375,106635,0.363613182850934,0.365989732539761,0.491592486181605,0.478647359066109,1.85528681991555,0.505822668050271,0.492502816913671,1.90899201193547
NZ,0.7,MoreR2,Diag,20weight,HamelCope,N_h07_R2_Vb_D20w_Mhac,5818.11,0.0739971,0.162988,0.073680825,8959.03,76262.9,78419.14,32658,20172.8,34229.825,84934.4,85183.35,0.454003362210715,0.452062881929958,0.42822919138926,0.416454452318656,1.61891259517767,0.448839802839913,0.436498347214723,1.69683063332805
NZ,0.7,MoreR2,Diag,20weight,Estimated,N_h07_R2_Vb_D20w_Mest,5816.9,0.0768184,0.162254,0.07648945,8730.92,75122.8,77286.55,31443.7,19895.5,32956.725,81771.2,82008.825,0.473445338789799,0.471417961960876,0.418564004536572,0.406845693073374,1.58044281370159,0.438704694180728,0.426422514654878,1.65649141765726
